time,time_diff,temp,tod,season,pressure,humidity,dew_pt,clouds,wind_speed,wind_deg,4020824211773201175,4025185137773201155,4067173146773201181,4091235214773201212,4015213417077320185,4010224513677320196,403037224773201139,406908213773201128,40024920777320136,40217218126773201172,405322121277320127,402272285877320170,401400620977320137,409061132773201254,4016624233773201214,40245178127773201199
1646974800,39600,0.5148443358235899,0.21739130434782608,0.9010989010989011,0.9893307468477207,0.87,0.9544470818207205,0.49,0.18971061093247588,0.6194444444444445,32.45,32.0,32.34,32.22,32.34,31.44,32.0,32.9,-159.0,-159.0,-159.0,-159.0,32.34,32.45,32.11,32.11
1646978400,43200,0.5120948704418585,0.2608695652173913,0.9010989010989011,0.9893307468477207,0.89,0.9554244624406589,0.43,0.2057877813504823,0.5805555555555556,31.1,30.76,31.21,31.77,30.42,28.85,29.19,31.1,-159.0,-159.0,-159.0,-159.0,30.54,30.76,30.31,30.65
1646982000,46800,0.5005971061182548,0.30434782608695654,0.9010989010989011,0.9893307468477207,0.91,0.9548659592292655,0.11,0.2015005359056806,0.6305555555555555,29.52,28.96,28.85,29.41,29.41,29.08,29.3,31.1,-159.0,-159.0,-159.0,-159.0,29.08,29.64,29.3,29.19
1646985600,50400,0.49684783514316666,0.34782608695652173,0.9010989010989011,0.9893307468477207,0.92,0.9546914269757051,0.35,0.17684887459807072,0.6888888888888889,27.5,27.05,27.39,27.61,27.27,26.83,27.16,28.4,-159.0,-159.0,-159.0,-159.0,27.39,27.61,27.61,27.5
1646989200,54000,0.49684783514316666,0.391304347826087,0.9010989010989011,0.988360814742968,0.92,0.9547961463278413,0.5,0.18435155412647375,0.6694444444444444,26.71,26.6,26.94,27.27,26.04,25.36,25.7,26.6,-159.0,-159.0,-159.0,-159.0,26.15,26.38,26.15,26.49
1646992800,57600,0.49434832115977456,0.43478260869565216,0.9010989010989011,0.988360814742968,0.92,0.9543423624685841,0.41,0.18863879957127547,0.6555555555555556,26.94,26.04,26.49,26.94,26.6,25.92,26.15,27.5,-159.0,-159.0,-159.0,-159.0,26.49,27.05,26.38,26.71
1646996400,61200,0.4903490987863471,0.4782608695652174,0.9010989010989011,0.988360814742968,0.92,0.9539583915107512,0.34,0.1907824222936763,0.6638888888888889,25.7,25.48,25.36,25.92,25.81,24.8,25.14,25.7,-159.0,-159.0,-159.0,-159.0,25.36,25.81,25.25,25.59
1647000000,64800,0.4985974949315411,0.5217391304347826,0.9010989010989011,0.9893307468477207,0.91,0.9548310527785535,0.29,0.18220793140407288,0.6555555555555556,26.83,26.49,26.6,26.71,26.71,25.81,26.38,27.5,-159.0,-159.0,-159.0,-159.0,27.05,26.94,26.49,26.6
1647003600,68400,0.571583303246591,0.5652173913043478,0.9010989010989011,0.9893307468477207,0.82,0.9594387042725495,0.25,0.18756698821007503,0.5916666666666667,32.0,32.11,35.6,31.66,30.31,30.76,31.77,32.9,-159.0,-159.0,-159.0,-159.0,35.26,33.91,40.21,31.66
1647007200,72000,0.6410697919848918,0.6086956521739131,0.9010989010989011,0.988360814742968,0.73,0.9631038815973192,0.15,0.22936763129689175,0.5666666666666667,45.72,46.29,45.39,42.46,44.83,45.5,45.05,45.5,44.71,45.5,43.7,41.45,44.83,44.6,44.49,43.7
1647010800,75600,0.6963090510178577,0.6521739130434783,0.9010989010989011,0.9873908826382153,0.66,0.9662105557106954,0.22,0.2840300107181136,0.5361111111111111,52.81,53.04,52.7,50.67,54.84,54.28,55.51,55.4,52.81,53.6,50.9,51.01,52.7,52.7,51.91,51.57
1647014400,79200,0.7465492820840393,0.6956521739130435,0.9010989010989011,0.9864209505334627,0.6,0.9679209717955878,0.17,0.39228295819935693,0.5138888888888888,56.19,57.31,57.54,55.06,59.34,55.4,58.32,57.2,57.42,56.3,56.53,57.76,57.09,57.65,55.96,58.21
1647018000,82800,0.7867914572166523,0.7391304347826086,0.9010989010989011,0.98545101842871,0.55,0.969177604021223,0.14,0.4512325830653805,0.5111111111111111,60.57,60.91,61.25,59.56,61.81,58.89,61.59,60.8,60.91,59.9,59.0,61.59,60.46,61.03,59.9,62.38
1647021600,86400,0.8210347987891243,0.782608695652174,0.9010989010989011,0.9835111542192047,0.51,0.9691077911197988,0.12,0.4790996784565916,0.5333333333333333,62.71,62.94,62.94,62.04,64.63,61.36,63.05,61.7,63.16,62.6,61.14,63.61,62.49,63.72,61.03,64.51
1647025200,90000,0.8372816396811732,0.8260869565217391,0.9010989010989011,0.9815712900096993,0.49,0.9696313878804802,0.0,0.5434083601286174,0.5555555555555556,65.19,64.85,65.19,64.96,66.31,64.06,65.86,63.5,65.86,65.3,63.28,65.3,65.07,66.31,64.51,66.43
1647028800,93600,0.8372816396811732,0.8695652173913043,0.9010989010989011,0.9815712900096993,0.5,0.9708880201061155,0.0,0.5702036441586281,0.5555555555555556,67.66,66.65,67.1,65.19,67.77,65.64,66.99,66.2,68.0,68.9,67.1,68.0,66.09,66.76,65.52,68.68
1647032400,97200,0.8302830005276752,0.9130434782608695,0.9010989010989011,0.9806013579049466,0.53,0.9728078748952805,0.05,0.5712754555198285,0.5472222222222223,67.21,66.76,67.32,65.97,68.11,66.09,66.54,67.1,68.34,67.1,66.88,66.99,66.43,66.76,66.88,69.01
1647036000,100800,0.8017885411170051,0.9565217391304348,0.9010989010989011,0.9806013579049466,0.61,0.9760890812622172,0.25,0.5209003215434084,0.5138888888888888,66.31,64.63,66.31,64.51,66.65,64.85,65.75,67.1,66.88,67.1,67.1,65.75,65.41,66.99,64.85,68.11
1647039600,104400,0.7328019551753826,1.0,0.9010989010989011,0.9806013579049466,0.74,0.9763334264172018,0.23,0.3815648445873526,0.49166666666666664,58.78,57.76,58.21,57.88,58.1,57.2,57.88,59.0,59.11,59.0,58.55,58.1,58.44,58.66,57.99,59.11
1647043200,108000,0.6780625989390952,0.0,0.9120879120879121,0.9806013579049466,0.82,0.9743088522759006,0.36,0.3033226152197213,0.5138888888888888,54.5,53.94,54.05,53.71,54.05,53.26,54.16,55.4,54.16,54.5,53.38,54.05,54.84,54.5,53.94,54.28
1647046800,111600,0.6585663898686367,0.043478260869565216,0.9120879120879121,0.979631425800194,0.87,0.9743437587266126,1.0,0.255091103965702,0.5583333333333333,51.35,50.79,51.24,51.69,51.35,49.44,49.21,51.8,51.69,50.9,50.79,50.9,51.57,52.03,50.9,51.01
1647050400,115200,0.6513177993167996,0.08695652173913043,0.9120879120879121,0.979631425800194,0.89,0.9745531974308852,1.0,0.23043944265809216,0.5916666666666667,46.63,46.63,47.75,48.2,44.6,42.58,42.91,44.6,45.39,45.5,44.71,45.05,46.17,45.84,45.95,45.28
1647054000,118800,0.64481906295998,0.13043478260869565,0.9120879120879121,0.9786614936954413,0.91,0.974483384529461,1.0,0.21543408360128616,0.5611111111111111,48.54,47.97,48.42,49.32,47.19,44.71,44.49,47.3,48.42,48.2,47.19,47.3,47.19,47.41,46.63,47.08
1647057600,122400,0.6370705696114645,0.17391304347826086,0.9120879120879121,0.976721629485936,0.92,0.9745182909801731,1.0,0.2165058949624866,0.55,46.4,46.17,46.51,46.74,45.84,44.94,45.84,47.3,46.63,46.4,45.61,46.29,45.95,46.06,45.72,45.95
1647061200,126000,0.6718138139806149,0.21739130434782608,0.9120879120879121,0.9747817652764307,0.89,0.9776598715442613,1.0,0.18113612004287244,0.5027777777777778,39.65,39.2,39.54,39.54,39.09,37.51,38.41,40.1,39.76,40.1,38.86,39.31,39.42,39.42,39.09,39.2
1647064800,129600,0.6658149804204738,0.2608695652173913,0.9120879120879121,0.9728419010669254,0.93,0.9790910360234572,1.0,0.21972132904608788,0.5083333333333333,38.19,37.51,37.74,37.74,37.85,36.84,37.74,38.3,38.3,38.3,37.4,37.85,37.96,37.85,37.74,37.96
1647068400,133200,0.6750631821590246,0.30434782608695654,0.9120879120879121,0.9718719689621726,0.96,0.981709019826864,1.0,0.2207931404072883,0.5472222222222223,37.96,37.4,37.63,37.63,37.74,36.61,37.4,38.3,37.74,38.3,36.84,37.63,38.08,38.08,37.51,37.85
1647072000,136800,0.6803121615241481,0.34782608695652173,0.9120879120879121,0.9689621726479146,0.98,0.9837685004188773,1.0,0.2379421221864952,0.5111111111111111,41.0,40.55,40.78,40.89,40.44,39.09,39.99,41.0,40.78,41.0,40.1,40.66,40.89,41.0,40.33,40.89
1647075600,140400,0.6760629877523815,0.391304347826087,0.9120879120879121,0.9670223084384093,0.99,0.9835241552638927,1.0,0.1232583065380493,0.3972222222222222,43.92,43.25,43.81,43.36,43.59,42.8,43.59,44.6,43.81,44.6,42.91,43.59,43.7,43.92,43.47,43.59
1647079200,144000,0.6833115783042186,0.43478260869565216,0.9120879120879121,0.9660523763336566,0.99,0.9844666294331191,1.0,0.1189710610932476,0.5722222222222222,37.4,36.61,36.95,36.28,37.06,35.94,36.72,37.4,37.06,37.4,36.39,36.95,36.84,37.17,36.72,36.84
1647082800,147600,0.6820618213125227,0.4782608695652174,0.9120879120879121,0.965082444228904,0.99,0.9839779391231499,1.0,0.15541264737406216,0.058333333333333334,31.77,31.33,31.55,31.44,31.55,30.65,31.77,32.0,31.66,32.0,31.1,31.55,31.89,31.77,31.66,32.0
1647086400,151200,0.5915794151137279,0.5217391304347826,0.9120879120879121,0.9660523763336566,0.96,0.9699804523876011,1.0,0.5948553054662379,0.9805555555555555,31.21,30.54,31.33,31.21,31.21,30.31,31.1,32.0,31.33,32.0,30.99,31.44,31.55,31.33,30.88,31.66
1647090000,154800,0.4731024523009415,0.5652173913043478,0.9120879120879121,0.9689621726479146,0.92,0.9516894722144651,1.0,0.5862808145766345,0.008333333333333333,28.96,28.74,28.74,28.63,28.85,27.73,28.96,29.3,29.19,29.3,28.4,28.63,29.08,28.85,29.3,29.19
1647093600,158400,0.46435415335906904,0.6086956521739131,0.9120879120879121,0.9699321047526673,0.9,0.9490365819603462,1.0,0.3504823151125402,0.975,27.27,27.05,27.05,27.05,27.16,26.04,27.27,27.5,27.39,27.5,26.49,26.94,27.39,27.27,27.39,27.39
